value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,0,105,0.0,0.023653709690136405,0.0,NO_TARGET_POSITIVES
AASDB,93,0,93,0.0,0.020950428582692245,0.0,NO_TARGET_POSITIVES
BERKELEY-LAB,3396,0,3396,0.0,0.7650285534066974,0.0,NO_TARGET_POSITIVES
BILELIB19,3819,0,3819,0.0,0.860319212444104,0.0,NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-NEG,1,0,1,0.0,0.00022527342562034668,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
BIRMINGHAM-UHPLC-MS-POS,669,0,669,0.0,0.15070792174001194,0.0,NO_TARGET_POSITIVES
BMDMS-NP,125071,0,125071,0.0,28.175172615762385,0.0,NO_TARGET_POSITIVES
CMMC-FOOD-BIOMARKERS,629,0,629,0.0,0.14169698471519807,0.0,NO_TARGET_POSITIVES
DEREPLICATOR_IDENTIFIED_LIBRARY,363,0,363,0.0,0.08177425350018584,0.0,NO_TARGET_POSITIVES
DMIM-DRUG-METABOLITE-LIBRARY,3637,0,3637,0.0,0.8193194489812009,0.0,NO_TARGET_POSITIVES
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,0,719,0.0,0.1619715930210293,0.0,NO_TARGET_POSITIVES
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,0,137,0.0,0.030862459309987496,0.0,NO_TARGET_POSITIVES
ECRFS_DB,79,0,79,0.0,0.01779660062400739,0.0,NO_TARGET_POSITIVES
ELIXDB-LICHEN-DATABASE,519,0,519,0.0,0.11691690789695994,0.0,NO_TARGET_POSITIVES
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,0,24,0.0,0.005406562214888321,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-ALKYLAMINES-LIBRARY,2428,0,2428,0.0,0.5469638774062018,0.0,NO_TARGET_POSITIVES
GNPS-COLLECTIONS-MISC,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,2,107,1.834862385321101,0.02455480339261779,2.5974025974025974,LOW_TARGET_SUPPORT
GNPS-IIMN-PROPOGATED,145,0,145,0.0,0.03266464671495027,0.0,NO_TARGET_POSITIVES
GNPS-IOBA-NHC,90,0,90,0.0,0.020274608305831204,0.0,NO_TARGET_POSITIVES
GNPS-ION-MOBILITY-LIBRARY,9218,4,9214,0.04339336081579519,2.076570437368356,5.194805194805195,LOW_TARGET_SUPPORT
GNPS-LIBRARY,5073,0,5073,0.0,1.1428120881720187,0.0,NO_TARGET_POSITIVES
GNPS-MSMLS,442,0,442,0.0,0.09957085412419324,0.0,NO_TARGET_POSITIVES
GNPS-NIH-CLINICALCOLLECTION1,266,0,266,0.0,0.059922731215012216,0.0,NO_TARGET_POSITIVES
