value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,0,1200,0.0,0.27032811074441604,0.0,NO_TARGET_POSITIVES
IonTrap,1883,0,1883,0.0,0.42418986044311285,0.0,NO_TARGET_POSITIVES
MagneticSector,164,0,164,0.0,0.03694484180173686,0.0,NO_TARGET_POSITIVES
Orbitrap,375443,130,375313,0.03462576209970621,84.57733073517983,95.58823529411765,
Other,20499,0,20499,0.0,4.617879951791487,0.0,NO_TARGET_POSITIVES
Quadrupole,6623,0,6623,0.0,1.4919858978835563,0.0,NO_TARGET_POSITIVES
TimeOfFlight,37523,6,37517,0.015990192681821818,8.45293474955227,4.411764705882353,LOW_TARGET_SUPPORT
UNKNOWN,570,0,570,0.0,0.1284058526035976,0.0,NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,136,443769,0.030637185884367153,100.0,100.0,
TOTAL_ASSIGNMENTS,443905,136,443769,0.030637185884367153,100.0,100.0,
